Pathways	p-values	Matches
Polysaccharide Degradation	0.012531084	algC // pgm // glgP // kguK // nagZ
Other Amino Acid Biosynthesis	0.016163075	PP_0596 // PP_3724 // PP_2213 // alr // metX // PP_2528 // asd2 // lysC // gatC // asnB // guaA // carA // astC // argC // argB // argJ // argA
lipid IV<sub>A</sub> biosynthesis (P. putida)	0.019859303	lpxA // lpxD // lpxH // lpxB
Sugar Acid Degradation	0.02058967	PP_3382 // PP_3383 // PP_3384 // kguD // kguK // PP_2036 // gudD // glxR
L-arginine biosynthesis I (via L-ornithine)	0.022454944	astC // argC // argB // argJ // argA // carA // argG
L-arginine Biosynthesis	0.022454944	astC // argC // argB // argJ // argA // carA // argG
L-Ornithine Biosynthesis	0.023433374	astC // argC // argB // argJ // argA
L-ornithine biosynthesis I	0.023433374	astC // argC // argB // argJ // argA
guanosine ribonucleotides <i>de novo</i> biosynthesis	0.03088458	gmk // guaA // guaB
Acetyl-CoA Biosynthesis	0.03088458	aceE // lpdG // aceF
pyruvate decarboxylation to acetyl CoA	0.03088458	aceE // lpdG // aceF
Sugar Derivative Degradation	0.033394706	PP_3382 // PP_3383 // PP_3384 // kguD // kguK // mupP // amiD // nagZ // PP_2036 // gudD // glxR
Sugar Biosynthesis	0.033810347	algC // pgm // galU // prs // PP_1776 // ppsA // eno // pgk // PP_3443 // gapB // glmS // glmU // rmlC // kdsD // kdsB
Glycolate Degradation	0.038790926	glcB // pykA // eno // glxR
pyridoxal 5'-phosphate biosynthesis I	0.038790926	pdxA // serC // pdxB // pdxJ
Lipopolysaccharide Biosynthesis	0.038790926	lpxA // lpxD // lpxH // lpxB
UDP-sugar Biosynthesis	0.03899936	algC // pgm // galU // glmS // glmU
Nucleoside and Nucleotide Biosynthesis	0.04098957	pyrR // gmk // xpt // pyrB // carA // guaA // guaB // adk // purB // purT // purF // purN // purE // purH // purC
Amino Acid Fermentation (Stickland reactions)	0.043894064	PP_4635 // ilvE
Cyclitol Biosynthesis	0.043894064	PP_3157 // suhB
Lipoate Biosynthesis	0.043894064	lipB // lipA
Sugar Derivative Biosynthesis	0.043894064	PP_3157 // suhB
Stickland Fermentation (Reductive Branch)	0.043894064	PP_4635 // ilvE
Sugar Alcohol Biosynthesis	0.043894064	PP_3157 // suhB
L-leucine degradation IV (Stickland reaction)	0.043894064	PP_4635 // ilvE
lipoate biosynthesis and incorporation I	0.043894064	lipB // lipA
L-homocysteine biosynthesis	0.043894064	metX // PP_2528
<i>myo</i>-inositol biosynthesis	0.043894064	PP_3157 // suhB
Secondary Metabolite Degradation	0.044997934	vdh // PP_3382 // PP_3383 // PP_3384 // kguD // kguK // mupP // amiD // nagZ // PP_2036 // gudD // glxR
