Pathways	p-values	Matches
PWY0-1280-1	0.003532998	G1G01-2855 // G1G01-2861 // G1G01-2662
ACETATEUTIL-PWY	0.003532998	G1G01-850 // G1G01-5429 // G1G01-5023
PWY-5137	0.003532998	G1G01-2277 // G1G01-3979 // G1G01-3985
FORMASS-PWY	0.003532998	G1G01-361 // G1G01-2662 // G1G01-2861
PWY66-21	0.0066893785	G1G01-5023 // G1G01-2662 // G1G01-2861
Ethanol-Degradation	0.0066893785	G1G01-5023 // G1G01-2662 // G1G01-2861
Beta-Alanine-Biosynthesis	0.008794455	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
LEU-DEG2-PWY	0.011084419	G1G01-3776 // G1G01-4330 // G1G01-4331
PWY-5138	0.011084419	G1G01-2277 // G1G01-3979 // G1G01-3985
GLYCOL-GLYOXDEG-PWY	0.011996327	G1G01-2855 // G1G01-2861 // G1G01-2662 // G1G01-4574
PWY0-1312	0.015549295	G1G01-850 // G1G01-5429
PWY-1781	0.015549295	G1G01-648 // G1G01-4980
ALKANEMONOX-PWY	0.015549295	G1G01-260 // G1G01-258
Fermentation-to-Acids	0.015549295	G1G01-850 // G1G01-5429
Beta-Alanine-Degradation	0.015549295	G1G01-648 // G1G01-4980
Acetate-Formation	0.015549295	G1G01-850 // G1G01-5429
Alcohol-Degradation	0.016449483	G1G01-5023 // G1G01-2662 // G1G01-2861 // G1G01-2277 // G1G01-2855 // G1G01-4574
LEUCINE-DEG	0.01679578	G1G01-3776 // G1G01-4330 // G1G01-4331
FAO-PWY	0.02043197	G1G01-2277 // G1G01-3979 // G1G01-3985 // G1G01-2278
PWY-5283	0.023863733	G1G01-4375 // G1G01-5615 // G1G01-3828
Pyrimidine-Degradation	0.025736414	G1G01-4299 // G1G01-4301 // G1G01-4302 // G1G01-4303
PWY-4381	0.029605567	G1G01-1704 // G1G01-2126
Fatty-Acid-Biosyn-Initiation	0.029605567	G1G01-1704 // G1G01-2126
PWY-2161	0.029605567	G1G01-355 // G1G01-2067
PWY0-1264	0.029605567	G1G01-1704 // G1G01-2126
PWY-5148	0.029605567	G1G01-455 // G1G01-2469
PWY-7574	0.029605567	G1G01-648 // G1G01-4980
AMINE-DEG	0.030568842	G1G01-850 // G1G01-5429 // G1G01-3693 // G1G01-3694 // G1G01-3696 // G1G01-2616 // G1G01-4299
MISCELLANEOUS-DEG	0.031798635	G1G01-3839 // G1G01-648 // G1G01-4980 // G1G01-3411
PWY0-1337	0.037832737	G1G01-2277 // G1G01-2278 // G1G01-402 // G1G01-3985 // G1G01-3979
PWY-2201	0.03863357	G1G01-355 // G1G01-2067 // G1G01-2065 // G1G01-1059
GLYCINE-SYN	0.04208059	G1G01-355 // G1G01-1059 // G1G01-2066
Fatty-Acid-Degradation	0.04380534	G1G01-2277 // G1G01-3979 // G1G01-3985 // G1G01-2278 // G1G01-402
PWY-7909	0.04698728	G1G01-2065 // G1G01-2067
Fermentation	0.04698728	G1G01-850 // G1G01-5429
CARBOXYLATES-DEG	0.04847486	G1G01-850 // G1G01-5429 // G1G01-5023 // G1G01-2277 // G1G01-3839 // G1G01-2278 // G1G01-648 // G1G01-4980 // G1G01-4574
