Pathways	p-values	Matches
BRANCHED-CHAIN-AA-SYN-PWY	0.008778182	G1G01-3412 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-2116 // G1G01-2117 // G1G01-2119
PWY1G01-2	0.012002178	G1G01-1083 // G1G01-1097 // G1G01-1096 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082
GLYCOLYSIS-VARIANTS	0.012002178	G1G01-1083 // G1G01-1097 // G1G01-1096 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082
SUGAR-NUCLEOTIDES	0.013282927	G1G01-5645 // G1G01-3815 // G1G01-1879 // G1G01-1878 // G1G01-5042 // G1G01-5775 // G1G01-5777 // G1G01-287 // G1G01-2013
UDP-Sugar-Biosynthesis	0.014111538	G1G01-5645 // G1G01-3815 // G1G01-5042 // G1G01-5775 // G1G01-5777
Acetyl-CoA-Biosynthesis	0.015367878	G1G01-372 // G1G01-4454 // G1G01-371
GLUTAMINE-SYN	0.015367878	G1G01-3367 // G1G01-4677 // G1G01-5391
PYRUVDEHYD-PWY	0.015367878	G1G01-372 // G1G01-4454 // G1G01-371
GLNSYN-PWY	0.015367878	G1G01-3367 // G1G01-4677 // G1G01-5391
DHGLUCONATE-PYR-CAT-PWY	0.016419059	G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609
TRPSYN-PWY	0.016419059	G1G01-86 // G1G01-87 // G1G01-454 // G1G01-457
TRYPTOPHAN-BIOSYNTHESIS	0.016419059	G1G01-86 // G1G01-87 // G1G01-454 // G1G01-457
CARBO-BIOSYNTHESIS	0.023040017	G1G01-5645 // G1G01-3815 // G1G01-1879 // G1G01-1878 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-5042 // G1G01-5775 // G1G01-5777 // G1G01-287 // G1G01-2013
ENTNER-DOUDOROFF-PWY	0.026876919	G1G01-1083 // G1G01-1097
PWY-6932	0.026876919	G1G01-1390 // G1G01-1391
PWY-5340	0.026876919	G1G01-1391 // G1G01-1390
PWY-5344	0.026876919	G1G01-5441 // G1G01-2711
Selenium-Metabolism	0.026876919	G1G01-1390 // G1G01-1391
LEUCINE-SYN	0.033794962	G1G01-2116 // G1G01-2117 // G1G01-2119
PWY-5437	0.033794962	G1G01-3412 // G1G01-3679 // G1G01-5494
LEUSYN-PWY	0.033794962	G1G01-2116 // G1G01-2117 // G1G01-2119
PWY-5941	0.033794962	G1G01-5645 // G1G01-3815 // G1G01-5386
UDPNAGSYN-PWY	0.033794962	G1G01-5042 // G1G01-5775 // G1G01-5777
IMP-Biosynthesis	0.033794962	G1G01-5692 // G1G01-5159 // G1G01-1326
UDP-NAc-Glucosamine-Biosynthesis	0.033794962	G1G01-5042 // G1G01-5775 // G1G01-5777
Glycogen-Degradation	0.033794962	G1G01-5645 // G1G01-3815 // G1G01-5386
PWY0-1479	0.033794962	G1G01-2016 // G1G01-4899 // G1G01-5220
HSERMETANA-PWY	0.033794962	G1G01-5441 // G1G01-2711 // G1G01-2879
Glycan-Degradation	0.033794962	G1G01-5645 // G1G01-3815 // G1G01-5386
PWY-6123	0.033794962	G1G01-5692 // G1G01-5159 // G1G01-1326
Biosynthesis	0.037213862	G1G01-1871 // G1G01-917 // G1G01-617 // G1G01-939 // G1G01-1699 // G1G01-2026 // G1G01-1879 // G1G01-5645 // G1G01-1878 // G1G01-2570 // G1G01-79 // G1G01-4857 // G1G01-1698 // G1G01-2485 // G1G01-2013 // G1G01-2116 // G1G01-2117 // G1G01-2119 // G1G01-565 // G1G01-66 // G1G01-913 // G1G01-1771 // G1G01-5166 // G1G01-577 // G1G01-1692 // G1G01-1391 // G1G01-1390 // G1G01-5441 // G1G01-2711 // G1G01-2879 // G1G01-4774 // G1G01-1752 // G1G01-3367 // G1G01-4677 // G1G01-5391 // G1G01-4007 // G1G01-840 // G1G01-1436 // G1G01-5264 // G1G01-5232 // G1G01-321 // G1G01-1041 // G1G01-807 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-5692 // G1G01-5159 // G1G01-1326 // G1G01-396 // G1G01-397 // G1G01-5343 // G1G01-2597 // G1G01-287 // G1G01-1870 // G1G01-2257 // G1G01-743 // G1G01-4454 // G1G01-5538 // G1G01-5644 // G1G01-1762 // G1G01-5043 // G1G01-1104 // G1G01-5579 // G1G01-5622 // G1G01-1425 // G1G01-1310 // G1G01-3412 // G1G01-3679 // G1G01-5494 // G1G01-3596 // G1G01-921 // G1G01-5576 // G1G01-4488 // G1G01-3080 // G1G01-4481 // G1G01-4484 // G1G01-5042 // G1G01-5775 // G1G01-5777 // G1G01-1170 // G1G01-929 // G1G01-1587 // G1G01-2640 // G1G01-2636 // G1G01-472 // G1G01-5131 // G1G01-660 // G1G01-3083 // G1G01-86 // G1G01-87 // G1G01-454 // G1G01-457 // G1G01-1004 // G1G01-1006 // G1G01-1851 // G1G01-4032 // G1G01-5439 // G1G01-5137 // G1G01-3411 // G1G01-2481 // G1G01-1418 // G1G01-5140 // G1G01-1424 // G1G01-1456 // G1G01-3815 // G1G01-4905 // G1G01-4782 // G1G01-5646 // G1G01-1434 // G1G01-5531 // G1G01-1161 // G1G01-5643 // G1G01-477 // G1G01-3975 // G1G01-1763
L-Ornithine-Biosynthesis	0.04512215	G1G01-4782 // G1G01-5646 // G1G01-1434 // G1G01-5531
GLUTORN-PWY	0.04512215	G1G01-4782 // G1G01-5646 // G1G01-1434 // G1G01-5531
ARGSYNBSUB-PWY	0.047405913	G1G01-1434 // G1G01-5531 // G1G01-5646 // G1G01-4782 // G1G01-1161
Energy-Metabolism	0.049837314	G1G01-1083 // G1G01-1097 // G1G01-1096 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1709 // G1G01-3676 // G1G01-2290 // G1G01-1082 // G1G01-4459 // G1G01-4390 // G1G01-4393 // G1G01-372 // G1G01-4454 // G1G01-371 // G1G01-4279 // G1G01-826 // G1G01-1338 // G1G01-2500 // G1G01-4455 // G1G01-4451 // G1G01-1018
