Pathways	p-values	Matches
L-Ornithine-Biosynthesis	0.023433374	G1G01-4782 // G1G01-468 // G1G01-5646 // G1G01-1434 // G1G01-5531
GLUTORN-PWY	0.023433374	G1G01-4782 // G1G01-468 // G1G01-5646 // G1G01-1434 // G1G01-5531
PWY-7221	0.03088458	G1G01-5653 // G1G01-1105 // G1G01-1104
Acetyl-CoA-Biosynthesis	0.03088458	G1G01-372 // G1G01-4454 // G1G01-371
PYRUVDEHYD-PWY	0.03088458	G1G01-372 // G1G01-4454 // G1G01-371
Sugar-Derivatives	0.033394706	G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1865 // G1G01-136 // G1G01-2286 // G1G01-2172 // G1G01-5091 // G1G01-4576
CARBO-BIOSYNTHESIS	0.033810347	G1G01-5645 // G1G01-3815 // G1G01-4079 // G1G01-796 // G1G01-1878 // G1G01-2220 // G1G01-1709 // G1G01-5307 // G1G01-3676 // G1G01-2290 // G1G01-5775 // G1G01-5777 // G1G01-287 // G1G01-1031 // G1G01-2013
Glycolate-Degradation	0.038790926	G1G01-390 // G1G01-1451 // G1G01-1709 // G1G01-4576
PYRIDOXSYN-PWY	0.038790926	G1G01-439 // G1G01-1870 // G1G01-2257 // G1G01-1528
Lipopolysaccharide-Biosynthesis	0.038790926	G1G01-1700 // G1G01-1698 // G1G01-3081 // G1G01-1701
UDP-Sugar-Biosynthesis	0.03899936	G1G01-5645 // G1G01-3815 // G1G01-4079 // G1G01-5775 // G1G01-5777
Nucleotide-Biosynthesis	0.04098957	G1G01-5342 // G1G01-5653 // G1G01-5622 // G1G01-5343 // G1G01-5050 // G1G01-1105 // G1G01-1104 // G1G01-1597 // G1G01-4283 // G1G01-1549 // G1G01-2130 // G1G01-1762 // G1G01-5692 // G1G01-5159 // G1G01-1326
Amino-Acid-Fermentation	0.043894064	G1G01-4948 // G1G01-3747
Cyclitols-Biosynthesis	0.043894064	G1G01-3376 // G1G01-913
Lipoate-Biosynthesis	0.043894064	G1G01-5138 // G1G01-5137
SUGAR-DERIVS	0.043894064	G1G01-3376 // G1G01-913
Stickland-Reductive	0.043894064	G1G01-4948 // G1G01-3747
Sugar-Alcohols-Biosynthesis	0.043894064	G1G01-3376 // G1G01-913
PWY-7767	0.043894064	G1G01-4948 // G1G01-3747
PWY0-501	0.043894064	G1G01-5138 // G1G01-5137
PWY-5344	0.043894064	G1G01-5441 // G1G01-2711
PWY-2301	0.043894064	G1G01-3376 // G1G01-913
SECONDARY-METABOLITE-DEGRADATION	0.044997934	G1G01-3588 // G1G01-3613 // G1G01-3614 // G1G01-3615 // G1G01-3607 // G1G01-3609 // G1G01-1865 // G1G01-136 // G1G01-2286 // G1G01-2172 // G1G01-5091 // G1G01-4576
